Time,Station,pH,DO,Temperature,Salinity
31/01/2023 20:10:00,SVDT2,8.2,79.3,25.5,0
31/01/2023 20:05:00,SVDT2,8.2,79.3,25.6,0
31/01/2023 20:00:00,SVDT2,8.2,79.2,25.6,0
31/01/2023 19:55:00,SVDT2,8.2,79.2,25.6,0
31/01/2023 19:50:00,SVDT2,8.2,79.3,25.7,0
31/01/2023 19:45:00,SVDT2,8.2,79.2,25.7,0
31/01/2023 19:40:00,SVDT2,8.2,79.2,25.3,0
31/01/2023 19:35:00,SVDT2,8.2,79.1,25.8,0
31/01/2023 19:30:00,SVDT2,8.2,79.2,25.8,0
31/01/2023 19:25:00,SVDT2,8.2,79,25.4,0
31/01/2023 19:20:00,SVDT2,8.19,78.9,25.8,0
31/01/2023 19:15:00,SVDT2,8.18,78.9,25.9,0
31/01/2023 19:10:00,SVDT2,8.18,79,25.9,0
31/01/2023 19:05:00,SVDT2,8.17,78.8,26,0
31/01/2023 19:00:00,SVDT2,8.15,78.8,25.6,0
31/01/2023 18:55:00,SVDT2,8.12,78.7,26.1,0
31/01/2023 18:50:00,SVDT2,8.11,78.7,26.2,0
31/01/2023 18:45:00,SVDT2,8.1,78.7,26.3,0
31/01/2023 18:40:00,SVDT2,8.1,78.6,26.4,0
31/01/2023 18:35:00,SVDT2,8.1,78.6,26.5,0
31/01/2023 18:30:00,SVDT2,8.1,78.6,26.5,0
31/01/2023 18:25:00,SVDT2,8.1,78.5,26.2,0
31/01/2023 18:20:00,SVDT2,8.1,78.5,26.7,0
31/01/2023 18:15:00,SVDT2,8.1,78.4,26.8,0
31/01/2023 18:10:00,SVDT2,8.1,78.4,26.9,0
31/01/2023 18:05:00,SVDT2,8.1,78.4,26.6,0
31/01/2023 18:00:00,SVDT2,8.1,78.4,27,0
31/01/2023 17:55:00,SVDT2,8.1,78.2,27.1,0
31/01/2023 17:50:00,SVDT2,8.1,78.3,26.8,0
31/01/2023 17:45:00,SVDT2,8.1,78.1,27.5,0
31/01/2023 17:40:00,SVDT2,8.1,78,27.6,0
31/01/2023 17:35:00,SVDT2,8.1,78,27.7,0
31/01/2023 17:30:00,SVDT2,8.1,78,27.8,0
31/01/2023 17:25:00,SVDT2,8.1,78,27.9,0
31/01/2023 17:20:00,SVDT2,8.1,77.8,27.5,0
31/01/2023 17:15:00,SVDT2,8.1,77.7,28.2,0
31/01/2023 17:10:00,SVDT2,8.1,77.7,27.5,0
31/01/2023 17:05:00,SVDT2,8.1,77.7,28.1,0
31/01/2023 17:00:00,SVDT2,8.1,77.7,28.1,0
31/01/2023 16:55:00,SVDT2,8.1,77.7,28.7,0
31/01/2023 16:50:00,SVDT2,8.12,77.7,28.7,0
31/01/2023 16:45:00,SVDT2,8.16,77.8,28.7,0
31/01/2023 16:40:00,SVDT2,8.17,77.7,28.6,0
31/01/2023 16:35:00,SVDT2,8.18,77.7,28.6,0
31/01/2023 16:30:00,SVDT2,8.19,77.7,28.6,0
31/01/2023 16:25:00,SVDT2,8.2,77.8,28.7,0
31/01/2023 16:20:00,SVDT2,8.2,77.7,28.7,0
31/01/2023 16:15:00,SVDT2,8.2,77.7,28.6,0
31/01/2023 16:10:00,SVDT2,8.2,77.7,28.5,0
31/01/2023 16:05:00,SVDT2,8.2,77.8,28.5,0
31/01/2023 16:00:00,SVDT2,8.2,77.7,28.5,0
31/01/2023 15:55:00,SVDT2,8.2,77.7,28.6,0
31/01/2023 15:50:00,SVDT2,---,77.7,---,0
31/01/2023 15:45:00,SVDT2,8.2,77.7,28.6,0
31/01/2023 15:40:00,SVDT2,8.2,77.7,27.5,0
